Sample;Species;DAI;Replicate
VA0R2;angularis;0;2 +
VA2R1;angularis;2;1 +
VA2R2;angularis;2;2 +
VA2R3;angularis;2;3 +
VA4R1;angularis;4;1 +
VA4R2;angularis;4;3 +
VA6R1;angularis;6;1 +
VA6R2;angularis;6;2 +
VA6R3;angularis;6;3 +
VR0R3;radiata;0;3 +
VR2R1;radiata;2;1 +
VR2R2;radiata;2;2 +
VR2R3;radiata;2;3 +
VR4R1;radiata;4;1 +
VR4R2;radiata;4;2 +
VR4R3;radiata;4;3 +
VR6R1;radiata;6;1 +
VR6R2;radiata;6;2 +
VR6R3;radiata;6;3 +
VRP0R2;reflexopilosa;0;2 +
VRP2R2;reflexopilosa;2;2 +
VRP2R3;reflexopilosa;2;3 +
VRP4R2;reflexopilosa;4;2 +
VRP4R3;reflexopilosa;4;3 +
VRP6R2;reflexopilosa;6;2 +
VRP6R3;reflexopilosa;6;3 +
VS0R1;stipulacea;0;1 +
VS0R2;stipulacea;0;2 +
VS0R3;stipulacea;0;3 +
VS2R1;stipulacea;2;1 +
VS2R2;stipulacea;2;2 +
VS2R3;stipulacea;2;3 +
VS4R1;stipulacea;4;1 +
VS4R2;stipulacea;4;2 +
VS4R3;stipulacea;4;3 +
VS6R1;stipulacea;6;1 +
VS6R2;stipulacea;6;2 +
VS6R3;stipulacea;6;3 +
