# Program:featureCounts v2.0.3; Command:"/home/nilmbb/dmalcov/vigna/subread-2.0.3-source/bin/featureCounts" "-p" "--countReadPairs" "-t" "exon" "-g" "gene_id" "-a" "v6.gtf" "-o" "VR4R1counts.txt" "alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam
gene:Vradi01g00010	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	15780;16203;16568;17602;17772;18760;19036;20022;20193;21839;22282	16172;16296;16990;17662;17854;18933;19119;20102;20370;22173;22681	+;+;+;+;+;+;+;+;+;+;+	2306	6222
gene:Vradi01g00020	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	23996;24544;24697;25407;25575;26209;26854;29477;29810;29991;30269;34087;34592;37205;37412;37643;38735;39310;39573;40186;42584;43810;44064;45050;45209;46096	24167;24620;24779;25466;25743;26308;27043;29652;29913;30149;30408;34192;34662;37323;37527;37741;38817;39406;39612;40335;42682;43975;44165;45112;45332;46240	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3010	935
gene:Vradi01g00030	CM003504.1;CM003504.1;CM003504.1	54388;54770;54917	54669;54826;55345	-;-;-	768	191
gene:Vradi01g00040	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	55268;56880;57822;59879;62401;62718;62856;63036;64168;64675;65503;66030	55992;57023;58067;60074;62660;62755;62931;63163;64212;64878;65553;66236	+;+;+;+;+;+;+;+;+;+;+;+	2320	134
gene:Vradi01g00050	CM003504.1	71688	72047	-	360	3901
gene:Vradi01g00060	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	73360;74089;76318;76512;78312;78449;78927;79399;80319	73766;75020;76357;76658;78349;78542;79298;79989;80390	-;-;-;-;-;-;-;-;-	2693	1510
gene:Vradi01g00070	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	87933;88951;89221;91156;92481;92658;92811;93069;93438;95051;96994;97873;98946;99049;99325	88169;89068;89447;91258;92551;92732;92954;93291;93863;95128;97085;97947;98956;99117;99964	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2589	683
gene:Vradi01g00080	CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1;CM003504.1	100326;100919;101357;101552;108354;108604;108886	100801;100990;101478;101606;108527;108684;108917	-;-;-;-;-;-;-	1012	833
gene:Vradi01g00090	CM003504.1;CM003504.1;CM003504.1;CM003504.1	110143;111747;113209;113586	111194;112208;113498;113892	-;-;-;-	2111	3569
gene:Vradi01g00100	CM003504.1;CM003504.1;CM003504.1;CM003504.1	125770;126001;126169;127791	125931;126067;126249;127855	+;+;+;+	375	703
